date,without_mirrors,with_mirrors
2026-03-08,58,145
2026-03-09,3,11
2026-03-10,4,11
2026-03-11,0,7
2026-03-12,1,1
2026-03-13,1,3
2026-03-14,1,5
2026-03-15,0,3
2026-03-16,2,8
2026-03-17,1,2
2026-03-18,51,136
2026-03-19,67,189
2026-03-20,10,48
2026-03-21,2,27
2026-03-22,12,25
2026-03-23,34,82
2026-03-24,49,174
2026-03-25,9,39
2026-03-26,17,57
2026-03-27,97,232
2026-03-28,19,33
2026-03-29,21,44
2026-03-30,20,46
2026-03-31,14,40
2026-04-01,5,11
2026-04-02,2,5
2026-04-03,2,4
2026-04-04,12,41
2026-04-05,14,24
2026-04-06,2,14
2026-04-07,16,32
2026-04-08,1,4
2026-04-10,4,4
2026-04-11,13,21
2026-04-12,0,16
2026-04-13,0,8
2026-04-14,0,10
2026-04-16,2,22
2026-04-17,24,24
2026-04-18,10,18
2026-04-19,0,21
2026-04-20,3,33
2026-04-21,2,12
2026-04-22,0,5
2026-04-23,0,16
2026-04-24,1,1
2026-04-25,1,21
2026-04-26,2,10
2026-04-27,5,5
2026-04-28,0,4
2026-04-29,14,14
2026-04-30,4,4
2026-05-01,0,5
2026-05-02,4,5
2026-05-04,1,1
2026-05-05,19,21
2026-05-06,23,42
2026-05-07,15,19
2026-05-09,0,17
2026-05-10,0,6
2026-05-11,0,1
2026-05-12,8,10
2026-05-13,4,13
2026-05-14,0,15
2026-05-15,6,7
2026-05-16,15,19
2026-05-17,1,1
2026-05-18,9,9
2026-05-19,95,251
2026-05-20,5,35
2026-05-21,5,24
2026-05-22,12,23
2026-05-23,0,9
2026-05-24,10,20
2026-05-25,2,24
2026-05-26,0,9
2026-05-27,2,15
2026-05-28,0,1
2026-05-29,13,20
2026-05-30,5,9
2026-05-31,16,17
2026-06-01,519,1192
2026-06-02,98,303
2026-06-03,38,149
2026-06-04,25,114
2026-06-05,2145,5066
2026-06-06,203,1082
2026-06-07,94,653
2026-06-08,10,333
2026-06-09,19,196
2026-06-10,27,210
2026-06-11,14,104
2026-06-12,11,12
2026-06-13,71,207
2026-06-14,90,90
2026-06-15,136,579
2026-06-16,136,333
2026-06-17,11,95
2026-06-18,14,299
2026-06-19,22,174
2026-06-20,13,106
2026-06-21,17,108
2026-06-22,4,142
2026-06-23,4,6
2026-06-24,11,36
2026-06-25,3,63
2026-06-26,91,508
2026-06-27,36,228
2026-06-28,4,24
2026-06-29,5,91
2026-06-30,9,17
2026-07-01,8,73
2026-07-02,1,12
2026-07-03,83,91
2026-07-04,17,94
2026-07-05,109,542
2026-07-06,11,53
2026-07-07,32,94
2026-07-08,7,85
2026-07-09,42,118
2026-07-10,64,145
2026-07-11,9,11
2026-07-12,5,11
2026-07-13,9,81
2026-07-14,11,22
2026-07-15,14,14
2026-07-16,10,201
2026-07-17,17,87
2026-07-18,4,81
2026-07-19,1,102
2026-07-20,1,102
2026-07-21,9,10
2026-07-22,95,96
2026-07-23,26,31
2026-07-24,5,19
2026-07-25,34,34
2026-07-26,6,6
2026-07-27,0,79
2026-07-28,3,74
2026-07-29,10,10
2026-07-30,5,5
2026-08-01,1,67
2026-08-02,0,2
2026-08-03,1,121
2026-08-04,1,1
