epoch,sigma,train_acc,train_loss,val_acc,fpga_val_acc,val_loss,test_acc,test_loss,lr,lr_pos,time_s
0,15.0000,4.99,30.6943,4.75,4.62,9.6212,3.84,9.2418,2.06e-04,5.00e-02,85.4
1,14.9983,5.61,19.7106,6.06,5.46,5.0760,-1.00,-1.0000,2.24e-04,5.00e-02,77.4
2,14.9933,4.59,12.7733,7.01,5.55,3.3565,-1.00,-1.0000,2.55e-04,5.00e-02,77.0
3,14.9850,5.45,7.5848,6.61,7.19,3.0004,-1.00,-1.0000,2.97e-04,4.99e-02,77.5
4,14.9733,6.74,4.4711,7.71,8.44,2.9600,-1.00,-1.0000,3.51e-04,4.99e-02,76.9
5,14.9584,6.00,3.2550,8.20,8.65,2.9622,-1.00,-1.0000,4.17e-04,4.98e-02,76.7
6,14.9401,7.28,3.0120,8.93,9.02,2.9529,-1.00,-1.0000,4.94e-04,4.97e-02,77.3
7,14.9185,7.83,2.9609,9.30,9.24,2.9310,-1.00,-1.0000,5.81e-04,4.96e-02,77.4
8,14.8936,8.37,2.9357,10.19,8.51,2.8906,-1.00,-1.0000,6.79e-04,4.96e-02,78.0
9,14.8654,9.22,2.9115,10.43,9.30,2.8827,-1.00,-1.0000,7.86e-04,4.95e-02,77.4
10,14.8339,10.28,2.8768,12.28,12.14,2.8484,12.59,2.8225,9.03e-04,4.93e-02,77.0
11,14.7992,11.33,2.8443,13.60,12.56,2.8122,-1.00,-1.0000,1.03e-03,4.92e-02,78.6
12,14.7612,12.69,2.8125,15.78,13.22,2.7626,-1.00,-1.0000,1.16e-03,4.91e-02,79.3
13,14.7200,13.71,2.7809,18.41,15.15,2.7096,-1.00,-1.0000,1.30e-03,4.89e-02,79.4
14,14.6756,15.74,2.7328,20.31,14.03,2.6732,-1.00,-1.0000,1.45e-03,4.88e-02,79.4
15,14.6280,16.57,2.6893,21.52,16.84,2.6064,-1.00,-1.0000,1.60e-03,4.86e-02,79.0
16,14.5773,17.53,2.6290,24.98,20.98,2.5464,-1.00,-1.0000,1.76e-03,4.84e-02,78.1
17,14.5233,19.02,2.5785,26.17,20.91,2.4667,-1.00,-1.0000,1.92e-03,4.82e-02,78.3
18,14.4663,20.67,2.4950,29.08,23.17,2.3888,-1.00,-1.0000,2.09e-03,4.80e-02,78.1
19,14.4062,22.29,2.4637,33.10,27.42,2.2983,-1.00,-1.0000,2.26e-03,4.78e-02,78.1
20,14.3430,25.32,2.3974,36.50,28.27,2.2379,35.54,2.1950,2.43e-03,4.76e-02,77.5
21,14.2767,25.56,2.3488,40.70,30.92,2.1827,-1.00,-1.0000,2.60e-03,4.74e-02,78.4
22,14.2075,25.94,2.3174,41.85,34.50,2.1472,-1.00,-1.0000,2.77e-03,4.72e-02,78.4
23,14.1353,27.79,2.2701,44.30,37.16,2.0038,-1.00,-1.0000,2.94e-03,4.69e-02,78.1
24,14.0601,28.38,2.2254,46.47,39.69,2.0108,-1.00,-1.0000,3.11e-03,4.67e-02,77.0
25,13.9820,30.08,2.2021,48.96,40.83,1.9794,-1.00,-1.0000,3.28e-03,4.64e-02,79.9
26,13.9010,29.20,2.1862,46.25,42.40,1.9673,-1.00,-1.0000,3.44e-03,4.61e-02,79.5
27,13.8172,30.84,2.1386,48.98,40.16,1.9072,-1.00,-1.0000,3.60e-03,4.58e-02,79.4
28,13.7305,32.62,2.1030,50.95,43.47,1.8517,-1.00,-1.0000,3.75e-03,4.55e-02,78.2
29,13.6411,32.27,2.0851,49.50,45.15,1.8382,-1.00,-1.0000,3.90e-03,4.52e-02,78.6
30,13.5490,33.50,2.0384,52.11,46.25,1.8223,48.34,1.8573,4.04e-03,4.49e-02,79.1
31,13.4542,34.35,1.9795,54.46,44.61,1.7147,-1.00,-1.0000,4.17e-03,4.46e-02,79.7
32,13.3567,35.87,1.9548,56.75,46.67,1.6798,-1.00,-1.0000,4.30e-03,4.43e-02,79.0
33,13.2566,35.82,1.9628,56.27,47.03,1.7269,-1.00,-1.0000,4.41e-03,4.39e-02,78.6
34,13.1540,36.87,1.9081,54.54,49.29,1.6696,-1.00,-1.0000,4.52e-03,4.36e-02,77.9
35,13.0488,37.02,1.9017,57.68,51.56,1.6919,-1.00,-1.0000,4.62e-03,4.32e-02,77.0
36,12.9412,37.88,1.8804,56.79,46.93,1.6454,-1.00,-1.0000,4.71e-03,4.29e-02,76.9
