current,observed
0.0,-65.194207
0.0,-65.227204
0.0,-64.915774
0.0,-65.210968
0.0,-65.254416
0.0,-64.877201
0.0,-65.239342
0.0,-65.064488
0.0,-65.001352
0.0,-65.089067
-4.0,-69.010819
-4.0,-72.332245
-4.0,-75.943379
-4.0,-79.007861
-4.0,-81.747749
-4.0,-83.783313
-4.0,-85.938575
-4.0,-87.728293
-4.0,-89.596029
-4.0,-91.148590
-4.0,-92.591839
-4.0,-93.806770
-4.0,-94.800491
-4.0,-95.925354
-4.0,-96.744266
-4.0,-97.207682
-4.0,-98.233304
-4.0,-99.311433
-4.0,-99.249887
-4.0,-100.067372
-4.0,-100.811523
-4.0,-100.879507
-4.0,-101.451294
-4.0,-101.932386
-4.0,-102.255110
-4.0,-102.614254
-4.0,-102.664387
-4.0,-102.692846
-4.0,-103.180959
-4.0,-103.220189
-4.0,-103.098789
-4.0,-103.869445
-4.0,-103.712369
-4.0,-103.948774
-4.0,-104.210589
-4.0,-104.304033
-4.0,-104.192035
-4.0,-104.183307
-4.0,-104.449390
-4.0,-104.397887
-4.0,-104.323446
-4.0,-104.461787
-4.0,-104.395255
-4.0,-104.519811
-4.0,-104.553280
-4.0,-104.320466
-4.0,-104.592580
-4.0,-104.719598
-4.0,-104.628955
-4.0,-104.977674
-4.0,-104.882005
-4.0,-104.674374
-4.0,-104.723559
-4.0,-104.555072
-4.0,-104.876175
-4.0,-105.182908
-4.0,-104.511949
-4.0,-104.692680
-4.0,-105.131880
-4.0,-104.652955
-4.0,-104.928827
-4.0,-105.304563
-4.0,-105.031670
-4.0,-105.054620
-4.0,-104.639386
-4.0,-105.120214
-4.0,-105.016343
-4.0,-105.024410
-4.0,-105.047947
-4.0,-105.157752
