current,observed
0.0,-64.956183
0.0,-64.784639
0.0,-64.875204
0.0,-65.185500
0.0,-65.229963
0.0,-64.976205
0.0,-65.141316
0.0,-65.126033
0.0,-65.335939
0.0,-64.609902
8.0,-56.816676
8.0,-65.194781
8.0,-56.818358
8.0,-64.731503
8.0,-57.477911
8.0,-65.109789
8.0,-57.077595
8.0,-64.870349
8.0,-57.024293
8.0,-65.046086
8.0,-57.011674
8.0,-64.629335
8.0,-56.568004
8.0,-65.104965
8.0,-57.185249
8.0,-64.461489
8.0,-57.195949
8.0,-65.114680
8.0,-56.992684
8.0,-64.903351
8.0,-56.794193
8.0,-64.921805
8.0,-57.174477
8.0,-64.898724
8.0,-56.950016
8.0,-64.624616
8.0,-57.003000
8.0,-65.267395
8.0,-57.209004
8.0,-64.709969
8.0,-57.108026
8.0,-65.420893
8.0,-57.116140
8.0,-64.999997
8.0,-56.762234
8.0,-65.202894
8.0,-56.866663
8.0,-64.840940
8.0,-57.139878
8.0,-65.037518
8.0,-56.646110
8.0,-64.655903
8.0,-56.828896
8.0,-64.933611
8.0,-56.772338
8.0,-65.028135
8.0,-57.019019
8.0,-65.172072
8.0,-56.998887
8.0,-65.016403
8.0,-56.445274
8.0,-65.038569
8.0,-56.745836
8.0,-64.735901
8.0,-57.037296
8.0,-64.766121
8.0,-57.435363
8.0,-64.981015
8.0,-56.828548
8.0,-65.479573
8.0,-57.231834
8.0,-64.788785
8.0,-57.051402
8.0,-65.219640
8.0,-57.074719
8.0,-65.108518
8.0,-56.855111
8.0,-64.909223
8.0,-57.056046
8.0,-65.133069
